source,invoice_date,provider,status,amount_usd,amount_nok_paid,invoice_url,matched_purchase_date,matched_posting_date,card_description,statement_invoice_number,source_pdf,recommended_booking,notes
Cursor,2025-11-05,Cursor,paid,103.73,1082.93,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTXl6UDdCdmU0N0FyMmU4T2dINHU4eXlrUWdkemxxLDE2NjAwNTIxMA0200wemmU4jg?s=ap,2025-11-05,2025-11-06,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-04,Cursor,paid,104.95,1095.67,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTWNNMjFoOG5KVWo0cWh0eUtuNjh1UTJDUnhBdDVwLDE2NjAwNTIxMA0200jGiRU6CL?s=ap,2025-11-04,2025-11-05,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-04,Cursor,paid,100.06,1035.50,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTVdmeE5mQTZXeTdocUV0OWFWWEVEV2IxYklicVlaLDE2NjAwNTIxMA0200XQTGemje?s=ap,2025-11-04,2025-11-05,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-04,Cursor,paid,100.23,1037.25,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTU5Bc25hd0dvRGpxbHJnRXFIVkpLTGxmRE9obkJJLDE2NjAwNTIxMA02005EhwccyK?s=ap,2025-11-04,2025-11-04,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-11-02,Cursor,paid,100.12,1035.54,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UTHNIV0pwNTBpUlo2cnpWMlFpOUhYbHcyS3RHOWNwLDE2NjAwNTIxMA0200ATudBOXt?s=ap,2025-11-02,2025-11-03,CURSOR USAGE MID OCT CURSOR.COM,47000418010029334016,47000418010029334016__1_.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-14,Cursor,paid,200.00,2071.63,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYlpYbDRkVklNN3hGclhOa201V2ZmbGFwYVNtYUgzLDE2NjAwNTIxMQ0200BZtIPfTk?s=ap,2025-12-14,2025-12-15,"CURSOR, AI POWERED IDE CURSOR.COM",47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-12,Cursor,paid,100.42,1037.57,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYWdsT0Z1aUdDSlFiWmRXOXdNaFR6eVZNdmYyNEFwLDE2NjAwNTIxMQ0200Wpjw302s?s=ap,2025-12-12,2025-12-13,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-10,Cursor,paid,100.36,1040.79,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UYTVJcFVaSlJFVm52VUJMNTlhclZmUGhDTDN1T1F1LDE2NjAwNTIxMQ0200iiYqNfHK?s=ap,2025-12-10,2025-12-11,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-09,Cursor,paid,101.45,1050.32,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWldCbjJNSTVMdnoxM1RVdjVqMGU5aHRjRXRMdWtvLDE2NjAwNTIxMQ0200U9VIkVhL?s=ap,2025-12-09,2025-12-09,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-07,Cursor,paid,100.00,1033.40,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWWRjQlJoenJjM3doN0JIY1RIQ3NkY1BvaEx1bGhwLDE2NjAwNTIxMQ0200IghkqjLN?s=ap,2025-12-07,2025-12-07,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Cursor,2025-12-03,Cursor,paid,102.16,1058.97,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UWDhTZ3BZcnBSV1pCRERyM2c2OFlNcUhNZlJ4djdYLDE2NjAwNTIxMQ020016v9vHJK?s=ap,2025-12-03,2025-12-03,CURSOR USAGE MID NOV CURSOR.COM,47000418010029334017,47000418010029334017.pdf,privat_utlegg,Exact kortmatch
Claude,2025-08-05,Anthropic Claude,paid,25.00,262.06,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9Tb1VTZVFQc2V3U28wWHhNUW5rTUFyTURCZmdFUjJyLDE2NjAwNzY4OA0200Qy4MXxpL?s=ap,2025-08-05,2025-08-06,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM,47000418010029334013,47000418010029334013.pdf,privat_utlegg,Exact kortmatch
Claude,2025-09-05,Anthropic Claude,paid,25.00,258.22,https://invoice.stripe.com/i/acct_1MExQ9BjIQrRQnux/live_YWNjdF8xTUV4UTlCaklRclJRbnV4LF9UMDZUODVuYXdSY2ZaSnRDUm1WNGdoTTBncmtzeFpHLDE2NjAwNzY4OA0200v1SziwXu?s=ap,2025-09-05,2025-09-06,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM,47000418010029334014,47000418010029334014.pdf,privat_utlegg,Exact kortmatch
